List Price,Sale Price,Brand,category_level1,ecomm_id
10.95,8.95,Country Brook Design,Pets,583
10.95,8.95,Country Brook Design,Pets,584
10.95,8.95,Country Brook Design,Pets,585
10.95,8.95,Country Brook Design,Pets,586
10.95,8.95,Country Brook Design,Pets,587
10.95,8.95,Country Brook Design,Pets,588
10.95,8.95,Country Brook Design,Pets,589
10.95,8.95,Country Brook Design,Pets,590
10.95,8.95,Country Brook Design,Pets,591
10.95,8.95,Country Brook Design,Pets,593
10.95,8.95,Country Brook Design,Pets,594
10.95,8.95,Country Brook Design,Pets,595
8.95,8.95,Country Brook Design,Pets,596
10.95,8.95,Country Brook Design,Pets,597
10.95,8.95,Country Brook Design,Pets,598
10.95,8.95,Country Brook Design,Pets,599
10.95,8.95,Country Brook Design,Pets,600
10.95,8.95,Country Brook Design,Pets,601
10.95,8.95,Country Brook Design,Pets,602
10.95,8.95,Country Brook Design,Pets,603
10.95,8.95,Country Brook Design,Pets,605
10.95,8.95,Country Brook Design,Pets,606
10.95,8.95,Country Brook Design,Pets,607
10.95,8.95,Country Brook Design,Pets,608
10.95,8.95,Country Brook Design,Pets,609
10.95,8.95,Country Brook Design,Pets,610
10.95,8.95,Country Brook Design,Pets,611
10.95,8.95,Country Brook Design,Pets,612
10.95,8.95,Country Brook Design,Pets,613
10.95,8.95,Country Brook Design,Pets,614
10.95,8.95,Country Brook Design,Pets,615
10.95,8.95,Country Brook Design,Pets,616
10.95,8.95,Country Brook Design,Pets,617
10.95,8.95,Country Brook Design,Pets,618
10.95,8.95,Country Brook Design,Pets,619
10.95,8.95,Country Brook Design,Pets,620
10.95,8.95,Country Brook Design,Pets,621
10.95,8.95,Country Brook Design,Pets,622
10.95,8.95,Country Brook Design,Pets,623
8.95,8.95,Country Brook Design,Pets,624
10.95,8.95,Country Brook Design,Pets,625
10.95,8.95,Country Brook Design,Pets,626
10.95,8.95,Country Brook Design,Pets,627
10.95,8.95,Country Brook Design,Pets,628
10.95,8.95,Country Brook Design,Pets,629
10.95,8.95,Country Brook Design,Pets,630
10.95,8.95,Country Brook Design,Pets,631
10.95,8.95,Country Brook Design,Pets,632
10.95,8.95,Country Brook Design,Pets,633
28.95,28.95,buckle-down,Pets,634
28.95,28.95,buckle-down,Pets,635
30.95,30.95,buckle-down,Pets,636
30.95,30.95,buckle-down,Pets,637
28.95,28.95,buckle-down,Pets,638
30.95,30.95,buckle-down,Pets,639
10.69,10.69,pedag,Health,640
10.69,10.69,pedag,Health,641
10.69,10.69,pedag,Health,642
10.69,10.69,pedag,Health,643
18.48,18.48,Envirofit,Office,644
39.12,39.12,CHOSEN SUPPLIES,Household Essentials,645
32.51,32.51,CHOSEN SUPPLIES,Household Essentials,646
22.95,22.95,Chico Creek Signs,Home,662
19.95,19.95,Chico Creek Signs,Home,663
36.95,36.95,Chico Creek Signs,Home,664
11.07,11.07,Luden's,,665
58.14,58.14,Kole Imports,Household Essentials,668
51.9,51.9,CHOSEN SUPPLIES,Household Essentials,669
61.6,61.6,Matrix,Beauty,670
51.14,51.14,Matrix,Beauty,672
30.21,30.21,Matrix,Beauty,676
19.81,19.81,Matrix,Beauty,678
40.68,40.68,Matrix,Beauty,680
24.99,24.99,Eye Buy Express,Health,682
33.99,33.99,Eye Buy Express,Health,683
27.99,27.99,Eye Buy Express,Health,684
24.99,24.99,Eye Buy Express,Health,685
24.99,24.99,Eye Buy Express,Health,686
18.99,18.99,Eye Buy Express,Health,687
22.99,22.99,Eye Buy Express,Health,689
33.99,33.99,Eye Buy Express,Health,690
33.99,33.99,Eye Buy Express,Health,691
33.99,33.99,Eye Buy Express,Health,692
31.99,31.99,Eye Buy Express,Health,693
40.99,40.99,Eye Buy Express,Health,694
22.99,22.99,Eye Buy Express,Health,695
27.99,27.99,Eye Buy Express,Health,696
22.99,22.99,Eye Buy Express,Health,697
34.99,34.99,Eye Buy Express,Health,698
22.99,22.99,Eye Buy Express,Health,699
38.99,38.99,Eye Buy Express,Health,700
31.99,31.99,Eye Buy Express,Health,701
